GalleryNumber,accessionNumber,accessionYear,additionalImages,artistAlphaSort,artistBeginDate,artistDisplayBio,artistDisplayName,artistEndDate,artistGender,artistNationality,artistPrefix,artistRole,artistSuffix,artistULAN_URL,artistWikidata_URL,city,classification,constituents,country,county,creditLine,culture,department,dimensions,dynasty,excavation,geographyType,isHighlight,isPublicDomain,isTimelineWork,linkResource,locale,locus,measurements,medium,metadataDate,objectBeginDate,objectDate,objectEndDate,objectID,objectName,objectURL,objectWikidata_URL,period,portfolio,primaryImage,primaryImageSmall,region,reign,repository,rightsAndReproduction,river,state,subregion,tags,title
951,1975.1.1580,1975,,,,,,,,,,,,,,,Glass,,,,"Robert Lehman Collection, 1975",probably French (Nevers),Robert Lehman Collection,8.5 x 20 x 15 cm,,,,False,True,False,,,,,"Figures of lampworked glass (opaque white, pale pink, yellow, turquoise blue, dark blue, bright blue, brown, dark red, green, black, and tan), metal wire, composition material, glass mirror plate, paint, string, coral. Assembled.",2020-09-16T18:35:19.457Z,1700,"18th century, reassembled last half 19th century",1900,460813,Figurine,https://www.metmuseum.org/art/collection/search/460813,https://www.wikidata.org/wiki/Q20188136,,,https://images.metmuseum.org/CRDImages/rl/original/SF-1975-1-1580.jpg,https://images.metmuseum.org/CRDImages/rl/web-large/SF-1975-1-1580.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,"[{""term"": ""Infants"", ""AAT_URL"": ""http://vocab.getty.edu/page/aat/300189561"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q998""}, {""term"": ""Women"", ""AAT_URL"": ""http://vocab.getty.edu/page/aat/300025943"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q467""}, {""term"": ""Moses"", ""AAT_URL"": ""http://vocab.getty.edu/page/ia/901000167"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q9077""}]",The Finding of Moses
951,1975.1.1555,1975,,,,,,,,,,,,,,,Glass,,,,"Robert Lehman Collection, 1975",probably Bohemia or Lower Austria,Robert Lehman Collection,H. 9.4 cm,,,,False,True,False,,,,,"Colorless nonlead glass. Cut, polished, reverse gilt, painted.",2020-09-16T18:35:19.457Z,1750,second half 18th century,1800,461279,Panel,https://www.metmuseum.org/art/collection/search/461279,https://www.wikidata.org/wiki/Q20188270,,,https://images.metmuseum.org/CRDImages/rl/original/SF-1975-1-1555.jpg,https://images.metmuseum.org/CRDImages/rl/web-large/SF-1975-1-1555.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,"[{""term"": ""Women"", ""AAT_URL"": ""http://vocab.getty.edu/page/aat/300025943"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q467""}, {""term"": ""Crucifixion"", ""AAT_URL"": ""http://vocab.getty.edu/page/aat/300404300"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q3235597""}, {""term"": ""Saints"", ""AAT_URL"": ""http://vocab.getty.edu/page/aat/300150555"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q43115""}]",A Female Saint (possibly Rosalia)
379,"81.1.599a, b",1881,"[""https://images.metmuseum.org/CRDImages/aa/original/81.1.599ab_002july2014.jpg""]",,,,,,,,,,,,,,Daggers,,Caucasus,,"Bequest of Stephen Whitney Phoenix, 1881","Caucasian, possibly northern Dagestan",Arms and Armor,L. with sheath 23 1/8 in. (58.7 cm); L. of sheath 18 3/4 in. (47.6 cm); W. 2 1/8 in. (5.4 cm); Wt. 1 lb. 4.8 oz. (589.7 g); Wt. of sheath 12 oz. (340.2 g),,,Country of Origin,False,True,True,,,,,"Steel, wood, silver, niello",2025-03-06T04:54:30Z,1815,ca. 1840–50,1875,24991,Dagger (Kindjal) with sheath,https://www.metmuseum.org/art/collection/search/24991,https://www.wikidata.org/wiki/Q78813071,,,https://images.metmuseum.org/CRDImages/aa/original/81.1.599ab_001july2014.jpg,https://images.metmuseum.org/CRDImages/aa/web-large/81.1.599ab_001july2014.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,,Dagger (Kindjal) with Sheath
951,1975.1.1557,1975,,,,,,,,,,,,,,,Glass,,,,"Robert Lehman Collection, 1975",Italian,Robert Lehman Collection,H. 5 cm,,,,False,True,False,,,,,"Rock crystal. Cut, polished, reverse painted, reverse gilt.",2020-09-16T18:35:19.457Z,1575,late 16th century,1600,461472,Plaque,https://www.metmuseum.org/art/collection/search/461472,https://www.wikidata.org/wiki/Q20188280,,,https://images.metmuseum.org/CRDImages/rl/original/SF-1975-1-1557.jpg,https://images.metmuseum.org/CRDImages/rl/web-large/SF-1975-1-1557.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,"[{""term"": ""Christ"", ""AAT_URL"": ""http://vocab.getty.edu/page/ia/901000087"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q642420""}, {""term"": ""Virgin Mary"", ""AAT_URL"": ""http://vocab.getty.edu/page/ia/901000032"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q345""}]",The Deposition
684,2003.150a–g,2003,"[""https://images.metmuseum.org/CRDImages/mi/original/DP222236.jpg""]",Esposito Giosue,1866,"Naples, active late 19th century",Giosue Esposito,1899,,Naples,,Maker,,,,Naples,Aerophone-Reed Vibrated-double reed,"[{""constituentID"": 155385, ""role"": ""Maker"", ""name"": ""Giosue Esposito"", ""constituentULAN_URL"": """", ""constituentWikidata_URL"": """", ""gender"": """"}]",Italy,,"Purchase, Clara Mertens Bequest, in memory of André Mertens, 2003",Italian,Musical Instruments,"51 3/4 × 3 1/2 × 2 in. (131.4 × 8.9 × 5.1 cm)
Width (With bocal): 11 in. (27.9 cm)",,,,True,True,True,,,,"[{""elementName"": ""Width"", ""elementDescription"": ""With bocal"", ""elementMeasurements"": {""Width"": 27.940056}}, {""elementName"": ""Overall"", ""elementDescription"": null, ""elementMeasurements"": {""Depth"": 5.08001, ""Height"": 131.44527, ""Width"": 8.8900175}}]","Maple, nickel-silver",2025-01-31T04:54:36.6Z,1881,1881,1881,503615,Bassoon,https://www.metmuseum.org/art/collection/search/503615,https://www.wikidata.org/wiki/Q29385647,,,https://images.metmuseum.org/CRDImages/mi/original/DP218094.jpg,https://images.metmuseum.org/CRDImages/mi/web-large/DP218094.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,,Bassoon
951,1975.1.1556,1975,,,,,,,,,,,,,,,Glass,,,,"Robert Lehman Collection, 1975",Italian,Robert Lehman Collection,H. 5 cm,,,,False,True,False,,,,,"Rock crystal. Cut, polished, reverse painted, reverse gilt.",2020-09-16T18:35:19.457Z,1575,late 16th century,1600,461346,Plaque,https://www.metmuseum.org/art/collection/search/461346,https://www.wikidata.org/wiki/Q20188274,,,https://images.metmuseum.org/CRDImages/rl/original/SF-1975-1-1556.jpg,https://images.metmuseum.org/CRDImages/rl/web-large/SF-1975-1-1556.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,"[{""term"": ""Adoration of the Shepherds"", ""AAT_URL"": ""http://vocab.getty.edu/page/ia/901000229"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q1029715""}]",Adoration of the Shepherds
951,1975.1.1573,1975,,,,,,,,,,,,,,,Glass,,,,"Robert Lehman Collection, 1975",probably French (Nevers),Robert Lehman Collection,27 x 36 x 18 cm,,,,False,True,False,,,,,"Figures and flowers of lampworked glass (opaque white, pink, lavender, green, brown, purple, black, blue, light blue, and colorless), cardboard, paper, shells, glass mirror plate, glass chips, imitation leather (paper), cloth, paint, composition material, wire, fabric. Assembled.",2020-09-16T18:35:19.457Z,1700,18th century,1800,461715,Figurine,https://www.metmuseum.org/art/collection/search/461715,https://www.wikidata.org/wiki/Q20188304,,,https://images.metmuseum.org/CRDImages/rl/original/SF-1975-1-1573.jpg,https://images.metmuseum.org/CRDImages/rl/web-large/SF-1975-1-1573.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,"[{""term"": ""Men"", ""AAT_URL"": ""http://vocab.getty.edu/page/aat/300025928"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q8441""}, {""term"": ""Christ"", ""AAT_URL"": ""http://vocab.getty.edu/page/ia/901000087"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q642420""}]",The Supper at Emmaus
952,1975.1.65a–f,1975,"[""https://images.metmuseum.org/CRDImages/rl/original/LC-1975_1_065b-001.jpg"", ""https://images.metmuseum.org/CRDImages/rl/original/LC-1975_1_065c-001.jpg"", ""https://images.metmuseum.org/CRDImages/rl/original/LC-1975_1_065d-001.jpg"", ""https://images.metmuseum.org/CRDImages/rl/original/LC-1975_1_065e-001.jpg"", ""https://images.metmuseum.org/CRDImages/rl/original/LC-1975_1_065f-001.jpg"", ""https://images.metmuseum.org/CRDImages/rl/original/0039.jpg"", ""https://images.metmuseum.org/CRDImages/rl/original/0040.jpg"", ""https://images.metmuseum.org/CRDImages/rl/original/0041.jpg"", ""https://images.metmuseum.org/CRDImages/rl/original/0042.jpg"", ""https://images.metmuseum.org/CRDImages/rl/original/0043.jpg"", ""https://images.metmuseum.org/CRDImages/rl/original/0044.jpg""]",Jacopo di Cione,1355,"Italian, Florence, active ca. 1360–1400",Jacopo di Cione,1400,,Italian,,Artist,,http://vocab.getty.edu/page/ulan/500031302,https://www.wikidata.org/wiki/Q2258950,,Paintings,"[{""constituentID"": 164535, ""role"": ""Artist"", ""name"": ""Jacopo di Cione"", ""constituentULAN_URL"": ""http://vocab.getty.edu/page/ulan/500031302"", ""constituentWikidata_URL"": ""https://www.wikidata.org/wiki/Q2258950"", ""gender"": """"}]",,,"Robert Lehman Collection, 1975",,Robert Lehman Collection,Top left 9 3/4 x 3 7/8 in. (24.8 x 9.8 cm); center left 11 1/8 x 5 1/4 in. (28.3 x 13.3 cm); bottom left 9 7/8 x 3 7/8 in. (25.1 x 9.8 cm); top right (9 3/4 x 3 7/8 in. (24.8 x 9.8 cm); center right 11 1/8 x 5 1/4 in. (28.3 x 13.3 cm); bottom right 10 x 3 7/8 in. (25.4 x 9.8 cm),,,,False,True,False,,,,"[{""elementName"": ""Overall"", ""elementDescription"": null, ""elementMeasurements"": {""Height"": 24.8, ""Width"": 9.8}}]","Tempera on wood, gold ground",2020-09-16T18:35:19.457Z,1360,ca. 1365,1370,459006,Painting,https://www.metmuseum.org/art/collection/search/459006,https://www.wikidata.org/wiki/Q20185404,,,https://images.metmuseum.org/CRDImages/rl/original/LC-1975_1_065a-001.jpg,https://images.metmuseum.org/CRDImages/rl/web-large/LC-1975_1_065a-001.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,"[{""term"": ""Angels"", ""AAT_URL"": ""http://vocab.getty.edu/page/aat/300379004"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q235113""}]",Six Angels
951,1975.1.1578,1975,,,,,,,,,,,,,,,Glass,,,,"Robert Lehman Collection, 1975",probably French (Nevers),Robert Lehman Collection,63.5 x 81.9 x 37.2 cm,,,,False,True,False,,,,,"Figures of lampworked glass (opaque white, turquoise blue, bright blue, light blue, green, yellow, orange, yellow-orange, brown, yellowish brown, dark brown, black, gray, gold aventurine, and colorless), mirror and glass plate (some reverse painted),  wood, cardboard, paper, fabric, shells, glass bead, paint, wire, composition material, cork, metal. Assembled.",2020-09-16T18:35:19.457Z,1700,18th century,1800,461001,Figurine,https://www.metmuseum.org/art/collection/search/461001,https://www.wikidata.org/wiki/Q20187398,,,https://images.metmuseum.org/CRDImages/rl/original/SF-1975-1-1578.jpg,https://images.metmuseum.org/CRDImages/rl/web-large/SF-1975-1-1578.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,"[{""term"": ""Christ"", ""AAT_URL"": ""http://vocab.getty.edu/page/ia/901000087"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q642420""}]",The Life of Christ
951,1975.1.1575,1975,,,,,,,,,,,,,,,Glass,,,,"Robert Lehman Collection, 1975",probably French (Nevers),Robert Lehman Collection,29.5 x 31.3 x 23 cm,,,,False,True,False,,,,,"Figures of lampworked glass (opaque white, black, red, yellow, brown, pink, green, light green, blue, bright blue, light blue, gold aventurine, and colorless), cardboard, papier-mâché, glass mirror plate, glass seed beads, shells, paper, ivory(?), wire, wood, cork, paint. Assembled.",2020-09-16T18:35:19.457Z,1700,18th century,1800,461717,Figurine,https://www.metmuseum.org/art/collection/search/461717,https://www.wikidata.org/wiki/Q20188308,,,https://images.metmuseum.org/CRDImages/rl/original/SF-1975-1-1575.jpg,https://images.metmuseum.org/CRDImages/rl/web-large/SF-1975-1-1575.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,"[{""term"": ""Christ"", ""AAT_URL"": ""http://vocab.getty.edu/page/ia/901000087"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q642420""}, {""term"": ""Entombment"", ""AAT_URL"": ""http://vocab.getty.edu/page/ia/901001053"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q51637""}]",The Crucifixion and the Entombment
951,1975.1.1579,1975,,Haly workshop,0018,"French, 18th century",Haly workshop,0018,,,possibly,Artist,,,,,Glass,"[{""constituentID"": 136926, ""role"": ""Artist"", ""name"": ""possibly Haly workshop"", ""constituentULAN_URL"": """", ""constituentWikidata_URL"": """", ""gender"": """"}]",,,"Robert Lehman Collection, 1975",probably French (Nevers),Robert Lehman Collection,H. 24.9 cm,,,,False,True,False,,,,,"Figures of lampworked glass (opaque white, pink, black, blue, green, waxlike colorless, and transparent amethyst), papier-mâché, wood, mirror plate, paper, composition material, paint, metal sequins, metal wire. Assembled.",2020-09-16T18:35:19.457Z,1740,last half 18th century,1800,461718,Figurine,https://www.metmuseum.org/art/collection/search/461718,https://www.wikidata.org/wiki/Q20188310,,,https://images.metmuseum.org/CRDImages/rl/original/SF-1975-1-1579.jpg,https://images.metmuseum.org/CRDImages/rl/web-large/SF-1975-1-1579.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,"[{""term"": ""Men"", ""AAT_URL"": ""http://vocab.getty.edu/page/aat/300025928"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q8441""}, {""term"": ""Sheep"", ""AAT_URL"": ""http://vocab.getty.edu/page/aat/300250284"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q7368""}, {""term"": ""Shepherds"", ""AAT_URL"": ""http://vocab.getty.edu/page/aat/300025617"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q81710""}]",The Good Shepherd
951,1975.1.1577,1975,,,,,,,,,,,,,,,Glass,,,,"Robert Lehman Collection, 1975",probably French (Nevers),Robert Lehman Collection,"H. 21 cm, w. 33,5 cm, d. 27.8 cm",,,,False,True,False,,,,,"Figures of lampworked glass (opaque and translucent white, brown, yellowish brown, black, yellow, blue, light blue, turquoise blue, amethyst, green, pink, gray, tan, and colorless), composition material (plaster ?), glass mirror plate, wood, wire, shells, feathers, paper, paint. Assembled.",2020-09-16T18:35:19.457Z,1700,18th century,1800,460554,Figurine,https://www.metmuseum.org/art/collection/search/460554,https://www.wikidata.org/wiki/Q20188107,,,https://images.metmuseum.org/CRDImages/rl/original/SF-1975-1-1577.jpg,https://images.metmuseum.org/CRDImages/rl/web-large/SF-1975-1-1577.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,"[{""term"": ""Animals"", ""AAT_URL"": ""http://vocab.getty.edu/page/aat/300249525"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q729""}, {""term"": ""Saint Anthony"", ""AAT_URL"": ""http://vocab.getty.edu/page/ia/901001255"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q170547""}]",The Temptation of St. Anthony
252,1986.259,1986,,,,,,,,,,,,,,,Sculpture,,,,"Purchase, Jack Naiman Gift, 1986","Nepal, Kathmandu Valley, possibly Deopatan",Asian Art,H. 10 5/8 in. (27 cm); W. 20 1/2 in. (52 cm),,,,False,True,True,,,,"[{""elementName"": ""Overall"", ""elementDescription"": null, ""elementMeasurements"": {""Height"": 27, ""Width"": 52}}]",Stone,2020-09-16T18:35:19.457Z,700,8th–9th century,899,38307,Panel,https://www.metmuseum.org/art/collection/search/38307,https://www.wikidata.org/wiki/Q83562090,Licchavi period,,https://images.metmuseum.org/CRDImages/as/original/DP101030.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP101030.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,"[{""term"": ""Men"", ""AAT_URL"": ""http://vocab.getty.edu/page/aat/300025928"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q8441""}]",Yakshas Relief
252,1982.247,1982,,,,,,,,,,,,,,,Sculpture,,,,"Gift of Margery and Harry Kahn, 1982",Nepal (Kathmandu Valley),Asian Art,H. 70 5/8 in. (179.4 cm); W. 20 11/16 in. (52.6 cm); D. 10 1/2 in. (26.7 cm),,,,False,True,True,,,,"[{""elementName"": ""Overall"", ""elementDescription"": null, ""elementMeasurements"": {""Height"": 179.4, ""Width"": 52.6}}]",Wood with traces of gesso and color,2025-03-06T04:54:30Z,1300,14th–15th century,1499,38322,Figure,https://www.metmuseum.org/art/collection/search/38322,https://www.wikidata.org/wiki/Q83562095,early Malla period,,https://images.metmuseum.org/CRDImages/as/original/h1_1982.247.jpg,https://images.metmuseum.org/CRDImages/as/web-large/h1_1982.247.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,"[{""term"": ""Buddhism"", ""AAT_URL"": ""http://vocab.getty.edu/page/aat/300073738"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q748""}, {""term"": ""Bodhisattvas"", ""AAT_URL"": ""http://vocab.getty.edu/page/aat/300264360"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q178149""}]","Bodhisattva, Probably Amoghapasa Lokeshvara"
250,1992.72.39,1992,,,,,,,,,,,,,,,Ceramics,,,,"Gift of Betty and John R. Menke, 1992",Thailand,Asian Art,H. 2 in. (5.1 cm); Diam. 8 1/4 in. (21 cm),,,,False,True,True,,,,"[{""elementName"": ""Other"", ""elementDescription"": null, ""elementMeasurements"": {""Diameter"": 21}}, {""elementName"": ""Overall"", ""elementDescription"": null, ""elementMeasurements"": {""Height"": 5.1}}]",Earthenware with underglaze iron-brown decoration (Kalong ware),2025-03-06T04:54:30Z,1300,14th–mid-16th century,1570,37588,Dish,https://www.metmuseum.org/art/collection/search/37588,https://www.wikidata.org/wiki/Q83562038,,,https://images.metmuseum.org/CRDImages/as/original/DP102270.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP102270.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,,Dish
250,2001.27,2001,,,,,,,,,,,,,,,Sculpture,,,,"Purchase, Gifts of friends of Jim Thompson, in his memory, 2001",Thailand,Asian Art,H. 14 1/2 in. (36.8 cm);  W. 15 1/2 in. (39.4 cm); D. 11 1/4 in. (28.6 cm),,,,False,True,True,,,,"[{""elementName"": ""Overall"", ""elementDescription"": null, ""elementMeasurements"": {""Depth"": 28.6, ""Height"": 36.8, ""Width"": 39.4}}]",Bronze with traces of gilt; eyes inlaid with shell and garnet,2025-03-06T04:54:30Z,1667,ca. late 17th century,1699,56784,Figure,https://www.metmuseum.org/art/collection/search/56784,https://www.wikidata.org/wiki/Q83562620,,,https://images.metmuseum.org/CRDImages/as/original/DP105148.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP105148.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,"[{""term"": ""Men"", ""AAT_URL"": ""http://vocab.getty.edu/page/aat/300025928"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q8441""}]",The Buddhist Disciple Phra Sankachai
681,1998.70,1998,"[""https://images.metmuseum.org/CRDImages/mi/original/DP105217.jpg""]",Pere Alexandre & Fils,,,Alexandre Pere & Fils,,,,,Maker,,,,Paris,Aerophone-Free Reed-concertina / accordion,"[{""constituentID"": 156260, ""role"": ""Maker"", ""name"": ""Alexandre Pere &amp; Fils"", ""constituentULAN_URL"": """", ""constituentWikidata_URL"": """", ""gender"": """"}]",France,,"Funds from various donors, 1998",French,Musical Instruments,Closed: 15 3/16 × 5 5/16 × 6 7/8 in. (38.5 × 13.5 × 17.5 cm),,,,True,True,False,,,,"[{""elementName"": ""Overall"", ""elementDescription"": ""closed"", ""elementMeasurements"": {""Depth"": 17.5, ""Height"": 38.5, ""Width"": 13.5}}]","Wood, metal, mastic, brass, tortoiseshell, gilt brass, mother-of-pearl, silver foil",2025-01-31T04:54:36.6Z,1840,1850–55,1860,503502,Accordion,https://www.metmuseum.org/art/collection/search/503502,https://www.wikidata.org/wiki/Q29385623,,,https://images.metmuseum.org/CRDImages/mi/original/DP105215.jpg,https://images.metmuseum.org/CRDImages/mi/web-large/DP105215.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,,Accordion
253,1994.93,1994,,,,,,,,,,,,,,,Sculpture,,,,"Gift of Donald J. and Polly Bruckmann, 1994",Tibet,Asian Art,H. 8 1/16 in. (20.5 cm),,,,False,True,True,,,,"[{""elementName"": ""Overall"", ""elementDescription"": null, ""elementMeasurements"": {""Height"": 20.4788}}]",Stone with color,2025-03-06T04:54:30Z,1300,14th century,1399,38600,Figure,https://www.metmuseum.org/art/collection/search/38600,https://www.wikidata.org/wiki/Q83562126,,,https://images.metmuseum.org/CRDImages/as/original/DP102611.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP102611.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,"[{""term"": ""Men"", ""AAT_URL"": ""http://vocab.getty.edu/page/aat/300025928"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q8441""}, {""term"": ""Buddhism"", ""AAT_URL"": ""http://vocab.getty.edu/page/aat/300073738"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q748""}, {""term"": ""Saints"", ""AAT_URL"": ""http://vocab.getty.edu/page/aat/300150555"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q43115""}]","An Arhat, a Buddhist Saint"
552,59.24a,1959,"[""https://images.metmuseum.org/CRDImages/es/original/ES1804.jpg""]",Clodion (Claude Michel),1738,"French, Nancy 1738–1814 Paris",Clodion (Claude Michel),1814,,French,,Artist,,http://vocab.getty.edu/page/ulan/500115369,https://www.wikidata.org/wiki/Q2979538,,Sculpture,"[{""constituentID"": 161776, ""role"": ""Artist"", ""name"": ""Clodion (Claude Michel)"", ""constituentULAN_URL"": ""http://vocab.getty.edu/page/ulan/500115369"", ""constituentWikidata_URL"": ""https://www.wikidata.org/wiki/Q2979538"", ""gender"": """"}]",,,"Purchase, Ella Morris de Peyster Bequest, 1959",,European Sculpture and Decorative Arts,"Overall (visible dimensions, confirmed): H. 61 1/2 x W. 252 3/4 in. (156.2 x 642 cm)",,,,False,True,False,,,,"[{""elementName"": ""Overall"", ""elementDescription"": ""historic dimensions"", ""elementMeasurements"": {""Height"": 167.6, ""Length"": 670.56134}}, {""elementName"": ""Overall"", ""elementDescription"": ""visible dimensions, confirmed"", ""elementMeasurements"": {""Height"": 156.21031, ""Width"": 641.98627}}]",Stucco,2020-10-07T04:34:10.107Z,1776,ca. 1781,1786,202266,Frieze,https://www.metmuseum.org/art/collection/search/202266,https://www.wikidata.org/wiki/Q99299242,,,https://images.metmuseum.org/CRDImages/es/original/ES1805.jpg,https://images.metmuseum.org/CRDImages/es/web-large/ES1805.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,"[{""term"": ""Boys"", ""AAT_URL"": ""http://vocab.getty.edu/page/aat/300247598"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q3010""}, {""term"": ""Satyrs"", ""AAT_URL"": ""http://vocab.getty.edu/page/aat/300379732"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q163709""}, {""term"": ""Goats"", ""AAT_URL"": ""http://vocab.getty.edu/page/aat/300250122"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q2934""}]",Children and satyr children leading a goat to sacrifice (part of a group)
544,14.40.700,1914,"[""https://images.metmuseum.org/CRDImages/es/original/150241.jpg""]","Court, Suzanne de",1575,"French, active 1575–1625",Suzanne de Court,1625,Female,French,,Artist,,http://vocab.getty.edu/page/ulan/500316249,https://www.wikidata.org/wiki/Q18508663,,Enamels,"[{""constituentID"": 163547, ""role"": ""Artist"", ""name"": ""Suzanne de Court"", ""constituentULAN_URL"": ""http://vocab.getty.edu/page/ulan/500316249"", ""constituentWikidata_URL"": ""https://www.wikidata.org/wiki/Q18508663"", ""gender"": ""Female""}, {""constituentID"": 163851, ""role"": ""Engraver"", ""name"": ""After an engraving by Etienne Delaune"", ""constituentULAN_URL"": ""http://vocab.getty.edu/page/ulan/500026480"", ""constituentWikidata_URL"": ""https://www.wikidata.org/wiki/Q2114093"", ""gender"": """"}, {""constituentID"": 162368, ""role"": ""Illustrator"", ""name"": ""After an illustration by Bernard Salomon"", ""constituentULAN_URL"": ""http://vocab.getty.edu/page/ulan/500015400"", ""constituentWikidata_URL"": ""https://www.wikidata.org/wiki/Q2898582"", ""gender"": """"}, {""constituentID"": 80538, ""role"": ""Artist"", ""name"": ""In book of verse Quadrins historiques de la Bible (1553) by Claude Paradin"", ""constituentULAN_URL"": """", ""constituentWikidata_URL"": """", ""gender"": """"}]",,,"Bequest of Benjamin Altman, 1913",,European Sculpture and Decorative Arts,Diameter: 9 3/4 in. (24.8 cm),,,,False,True,False,,,,"[{""elementName"": ""Diameter"", ""elementDescription"": ""wt confirmed"", ""elementMeasurements"": {""Diameter"": 24.765049, ""Weight"": 0.3475}}]","Painted enamel on copper, partly gilt",2021-01-29T04:38:45.023Z,1600,first quarter 17th century,1625,192741,Plate,https://www.metmuseum.org/art/collection/search/192741,https://www.wikidata.org/wiki/Q96181442,,,https://images.metmuseum.org/CRDImages/es/original/150240.jpg,https://images.metmuseum.org/CRDImages/es/web-large/150240.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,"[{""term"": ""Men"", ""AAT_URL"": ""http://vocab.getty.edu/page/aat/300025928"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q8441""}, {""term"": ""Women"", ""AAT_URL"": ""http://vocab.getty.edu/page/aat/300025943"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q467""}, {""term"": ""Dogs"", ""AAT_URL"": ""http://vocab.getty.edu/page/aat/300265714"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q144""}, {""term"": ""Isaac"", ""AAT_URL"": ""http://vocab.getty.edu/page/ia/901000952"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q671872""}, {""term"": ""Rebecca"", ""AAT_URL"": ""http://vocab.getty.edu/page/ia/901000955"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q40520""}]",Isaac and Rebecca
951,1975.1.1576,1975,,,,,,,,,,,,,,,Glass,,,,"Robert Lehman Collection, 1975",probably French (Nevers),Robert Lehman Collection,8.5 x 19.7 x 15 cm,,,,False,True,False,,,,,"Figures and flowers of lampworked glass (opaque whitwe, pink, dark blue, bright blue, brown, reddish brown, red, green, black, yellow and tan), composition material, glass mirror plate, paint, coral, seashells. Assembled.",2021-04-27T04:42:00.93Z,1700,"18th century, reassembled last half 19th century",1900,460549,Figurine,https://www.metmuseum.org/art/collection/search/460549,https://www.wikidata.org/wiki/Q20188203,,,https://images.metmuseum.org/CRDImages/rl/original/SF-1975-1-1576.jpg,https://images.metmuseum.org/CRDImages/rl/web-large/SF-1975-1-1576.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,"[{""term"": ""Men"", ""AAT_URL"": ""http://vocab.getty.edu/page/aat/300025928"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q8441""}, {""term"": ""Female Nudes"", ""AAT_URL"": ""http://vocab.getty.edu/page/aat/300189568"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q40446""}]",Susanna and the Elders
