GalleryNumber,accessionNumber,accessionYear,additionalImages,artistAlphaSort,artistBeginDate,artistDisplayBio,artistDisplayName,artistEndDate,artistGender,artistNationality,artistPrefix,artistRole,artistSuffix,artistULAN_URL,artistWikidata_URL,city,classification,constituents,country,county,creditLine,culture,department,dimensions,dynasty,excavation,geographyType,isHighlight,isPublicDomain,isTimelineWork,linkResource,locale,locus,measurements,medium,metadataDate,objectBeginDate,objectDate,objectEndDate,objectID,objectName,objectURL,objectWikidata_URL,period,portfolio,primaryImage,primaryImageSmall,region,reign,repository,rightsAndReproduction,river,state,subregion,tags,title
531,"14.40.236a, b",1914,,,,,,,,,,,,,,,Ceramics,,,,"Bequest of Benjamin Altman, 1913",China,Asian Art,H. 18 in. (45.7 cm),,,,False,True,False,,,,"[{""elementName"": ""Overall"", ""elementDescription"": null, ""elementMeasurements"": {""Height"": 45.7}}]",Porcelain painted in famille verte enamels,2023-02-07T04:46:51.34Z,1662,,1722,52033,Covered jar,https://www.metmuseum.org/art/collection/search/52033,https://www.wikidata.org/wiki/Q116396508,"Qing dynasty (1644–1911), Kangxi period (1662–1722)",,https://images.metmuseum.org/CRDImages/as/original/20713.jpg,https://images.metmuseum.org/CRDImages/as/web-large/20713.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,"[{""term"": ""Human Figures"", ""AAT_URL"": ""http://vocab.getty.edu/page/aat/300404114"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q5937779""}, {""term"": ""Fish"", ""AAT_URL"": ""http://vocab.getty.edu/page/aat/300266085"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q152""}, {""term"": ""Mountains"", ""AAT_URL"": ""http://vocab.getty.edu/page/aat/300008795"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q8502""}, {""term"": ""Landscapes"", ""AAT_URL"": ""http://vocab.getty.edu/page/aat/300132294"", ""Wikidata_URL"": ""https://www.wikidata.org/wiki/Q191163""}]",Covered Jar
219,14.40.144,1914,"[""https://images.metmuseum.org/CRDImages/as/original/14_40_144_Bm_sf.jpg""]",,,,,,,,,,,,,,Ceramics,,,,"Bequest of Benjamin Altman, 1913",China,Asian Art,H. 4 1/4 in. (10.8 cm),,,,False,True,False,,,,"[{""elementName"": ""Overall"", ""elementDescription"": null, ""elementMeasurements"": {""Height"": 10.8}}]",Porcelain with incised decoration (anhua) under glaze (Jingdezhen ware),2025-03-06T04:54:30Z,1723,,1735,52028,Vase,https://www.metmuseum.org/art/collection/search/52028,https://www.wikidata.org/wiki/Q116313325,"Qing dynasty (1644–1911), Yongzheng mark and period (1723–35)",,https://images.metmuseum.org/CRDImages/as/original/DP307599.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP307599.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,,Vase with decoration of dragons among clouds (one of a pair)
200,79.2.811,1879,"[""https://images.metmuseum.org/CRDImages/as/original/DP-14605-176.jpg"", ""https://images.metmuseum.org/CRDImages/as/original/DP-14605-177.jpg""]",,,,,,,,,,,,,,Ceramics,,,,"Purchase by subscription, 1879",China,Asian Art,H. 5 in. (12.7 cm),,,,False,True,False,,,,"[{""elementName"": ""Overall"", ""elementDescription"": null, ""elementMeasurements"": {""Height"": 12.7}}]",Porcelain with iron-red glaze (Jingdezhen ware),2025-03-06T04:54:30Z,1800,19th century,1899,51142,Vase,https://www.metmuseum.org/art/collection/search/51142,https://www.wikidata.org/wiki/Q116396486,Qing dynasty (1644–1911),,https://images.metmuseum.org/CRDImages/as/original/DP-14605-175.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-14605-175.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,,Vase in Meiping Shape
207,13.100.11,1913,,,,,,,,,,,,,,,Ceramics,,,,"John Stewart Kennedy Fund, 1913",China,Asian Art,H. 12 1/8 in. (30.8 cm); Diam. 8 1/4 in. (21 cm),,,,False,True,False,,,,"[{""elementName"": ""Overall"", ""elementDescription"": null, ""elementMeasurements"": {""Depth"": 21, ""Height"": 30.8}}]",Earthenware with green lead glaze,2023-02-07T04:46:51.34Z,1,1st–early 3rd century,233,52010,Model of farm building,https://www.metmuseum.org/art/collection/search/52010,https://www.wikidata.org/wiki/Q116313306,Eastern Han dynasty (25–220),,https://images.metmuseum.org/CRDImages/as/original/18736.jpg,https://images.metmuseum.org/CRDImages/as/web-large/18736.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,,Granary Tower
219,14.40.372,1914,"[""https://images.metmuseum.org/CRDImages/as/original/14_40_372_Bm_sf.jpg""]",,,,,,,,,,,,,,Ceramics,,,,"Bequest of Benjamin Altman, 1913",China,Asian Art,H. 5 3/4 in. (14.6 cm),,,,False,True,False,,,,"[{""elementName"": ""Overall"", ""elementDescription"": null, ""elementMeasurements"": {""Height"": 14.6}}]",Porcelain with peach bloom glaze (Jingdezhen ware),2025-03-06T04:54:30Z,1662,,1722,52049,Vase,https://www.metmuseum.org/art/collection/search/52049,https://www.wikidata.org/wiki/Q116313302,"Qing dynasty (1644–1911), Kangxi mark and period (1662–1722)",,https://images.metmuseum.org/CRDImages/as/original/DP307773.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP307773.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,,Vase
244,2000.489,2000,"[""https://images.metmuseum.org/CRDImages/as/original/2000_489_d.jpg""]",,,,,,,,,,,,,,Metalwork,,,,"Purchase, Peter J. and Edith J. Kubicek and Evelyn Kranes Kossak Gifts, and funds from various donors, 2000",Thailand (Ban Chiang),Asian Art,L.  6 1/16  in. (15.2 cm); Diam.  3 in. (7.6 cm),,,,False,True,False,,,,"[{""elementName"": ""Overall"", ""elementDescription"": null, ""elementMeasurements"": {""Depth"": 15.4}}, {""elementName"": ""Other"", ""elementDescription"": ""greatest"", ""elementMeasurements"": {""Diameter"": 7.6}}]",Bronze,2025-03-06T04:54:30Z,-310,ca. 300 BCE–200 CE,210,57167,Armlet,https://www.metmuseum.org/art/collection/search/57167,https://www.wikidata.org/wiki/Q116313654,Late period,,https://images.metmuseum.org/CRDImages/as/original/2000_489.jpg,https://images.metmuseum.org/CRDImages/as/web-large/2000_489.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,,Armlet
224,25.215.64,1925,,,,,,,,,,,,,,,Metalwork,,,,"Fletcher Fund, 1925",Japan,Asian Art,H. 14 in. (25.6 cm); W. 11 1/2 in. (29.2 cm),,,,False,True,False,,,,"[{""elementName"": ""Overall"", ""elementDescription"": null, ""elementMeasurements"": {""Height"": 35.6, ""Width"": 29.2}}]",Gilded bronze,2023-02-07T04:46:51.34Z,1715,ca. 1725,1735,60014,Temple decoration,https://www.metmuseum.org/art/collection/search/60014,https://www.wikidata.org/wiki/Q116313207,Edo period (1615–1868),,https://images.metmuseum.org/CRDImages/as/original/25_215_64_62730.jpg,https://images.metmuseum.org/CRDImages/as/web-large/25_215_64_62730.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,,Keman (“Flower Garland” Temple Decoration)
224,25.215.66,1925,,,,,,,,,,,,,,,Metalwork,,,,"Fletcher Fund, 1925",Japan,Asian Art,H. 13 1/2 in. (34.3 cm); W. 12 in. (30.5 cm),,,,False,True,False,,,,"[{""elementName"": ""Overall"", ""elementDescription"": null, ""elementMeasurements"": {""Height"": 34.3, ""Width"": 30.5}}]",Gilded bronze,2023-02-07T04:46:51.34Z,1715,ca. 1725,1735,60016,Temple decoration,https://www.metmuseum.org/art/collection/search/60016,https://www.wikidata.org/wiki/Q116313205,Edo period (1615–1868),,https://images.metmuseum.org/CRDImages/as/original/25_215_66_62731.jpg,https://images.metmuseum.org/CRDImages/as/web-large/25_215_66_62731.jpg,,,"Metropolitan Museum of Art, New York, NY",,,,,,Keman (“Flower Garland” Temple Decoration)
704,"41.34.20a, b",1941,"[""https://images.metmuseum.org/CRDImages/ad/original/124764.jpg""]","Danforth, III Thomas",1756,1756–1840,"Thomas Danforth, III",1840,,American,,Maker,,,,Wethersfeild,,"[{""constituentID"": 1564, ""role"": ""Maker"", ""name"": ""Thomas Danforth, III"", ""constituentULAN_URL"": """", ""constituentWikidata_URL"": """", ""gender"": """"}]",United States,,"Gift of Mrs. J. Insley Blair, in memory of her husband, 1941",American,The American Wing,H. 3 7/8 in. (9.8 cm),,,Possibly made in,False,True,False,,,,"[{""elementName"": ""Overall"", ""elementDescription"": null, ""elementMeasurements"": {""Height"": 9.8425}}]",Pewter,2023-02-07T04:46:51.34Z,1777,1777–90,1790,7958,Sugar bowl,https://www.metmuseum.org/art/collection/search/7958,https://www.wikidata.org/wiki/Q116343558,,,https://images.metmuseum.org/CRDImages/ad/original/123900.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/123900.jpg,New England,,"Metropolitan Museum of Art, New York, NY",,,Connecticut,,,Sugar Bowl
718,39.184.11,1939,,,,,,,,,,,,,,New York,,,United States,,"Gift of James De Lancey Verplanck and John Bayard Rodgers Verplanck, 1939",American,The American Wing,27 3/4 x 28 x 27 5/8 in. (70.5 x 71.1 x 70.2 cm),,,Made in,False,True,False,,,,"[{""elementName"": ""Overall"", ""elementDescription"": null, ""elementMeasurements"": {""Depth"": 70.1676, ""Height"": 70.5, ""Width"": 71.1}}]",Mahogany,2023-02-07T04:46:51.34Z,1760,ca. 1765,1790,8278,Tea table,https://www.metmuseum.org/art/collection/search/8278,https://www.wikidata.org/wiki/Q116330430,,,https://images.metmuseum.org/CRDImages/ad/original/120106.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/120106.jpg,Mid-Atlantic,,"Metropolitan Museum of Art, New York, NY",,,New York,,,Round tea table
